skin_name,image,price_min,price_max,price_min_stattrak,price_max_stattrak,weapon_name
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mYWxjaGlvbl9hcV9ibHVlZF9saWdodC41OGQ1OWNjMjc1YjQwNTgzZTQ0OTk3MGVjMjYyOTdmMTFmMjI5MTc4LnBuZw--/auto/auto/85/notrim/0e948870a70c3f25647128f0a5343ddb.webp,$141.29,$233.46,$177.10,$233.95,Falchion Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FxX2JsdWVkX2xpZ2h0LjQ3ZWM3OWUyYjk0YjExYmYzYzdlMmY5NWMzYWNiZTI2NWMzNWE2MTkucG5n/auto/auto/85/notrim/ce499d6fe5afd75f6a9f9cba7318ab1b.webp,$213.32,$273.48,$220.09,$276.77,Flip Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9ndXRfYXFfYmx1ZWRfbGlnaHQuMjAzNmRjMjZkNDM5N2E1MWE2NDQ5ZWJkMzVkMzU2ZThkZDFhNWVjNS5wbmc-/auto/auto/85/notrim/18e1a159bcc0da368a41b7b922ad1cbd.webp,$96.13,$170.04,$124.57,$199.74,Gut Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9hcV9ibHVlZF9saWdodC45MjI1Nzk4OTgxMWVlNDRhMmE4NDFlZDg1YzU1MWNmNmMzNjZjNGQ1LnBuZw--/auto/auto/85/notrim/bec9e10b63b96169ac9186bd61cbfb31.webp,$169.00,$262.44,$179.60,$622.89,Huntsman Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9hcV9ibHVlZF9saWdodC45Njk3NTNmZjYzNTk4OGFiMGJlZTg1NGU0NWQwMmRhZDVmMmFkZTg4LnBuZw--/auto/auto/85/notrim/99181cf19c90da61dc5e095e5fc04dce.webp,$818.99,"$1,102.89",$789.00,"$2,768.43",Karambit
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rdWtyaV9hcV9ibHVlZF9saWdodC40NjJkNWFhZjYzZDAwY2Y0MTEzZGMzMDFkNmU4NDkyMjFjZTY2OTc1LnBuZw--/auto/auto/85/notrim/9ae6240799f5c02e7280222aa0f976d7.webp,$356.53,$558.63,$360.00,$664.42,Kukri Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2FxX2JsdWVkX2xpZ2h0LjJmOWYyZjkwNTNjZTJiY2E0MzU4MzNkNDQ4ODY2NmU5NzUzMmQ2NmYucG5n/auto/auto/85/notrim/aa13bf967550af73c66deb0d78b8875e.webp,$675.00,$925.69,$623.24,$979.98,M9 Bayonet
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9neXBzeV9qYWNra25pZmVfYXFfYmx1ZWRfbGlnaHQuZGZiYWNhNTZiMTQ2ODAwYTY5NmMzYjgwMDJlOGZhNzVmZDViNjRiMS5wbmc-/auto/auto/85/notrim/d350498a9bcb9267613b16be983a0b14.webp,$79.79,$108.55,$93.00,$145.34,Navaja Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9vdXRkb29yX2FxX2JsdWVkX2xpZ2h0LjcyMTA3ZjUwNjc4Mjc3ZTFmZjMwOGY5OTRiZDc0YzY1MDM4NzJkMmUucG5n/auto/auto/85/notrim/8bb5316cce36f5f05d44a543ab4851eb.webp,$300.91,$460.00,$306.83,$526.00,Nomad Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9jb3JkX2FxX2JsdWVkX2xpZ2h0LmRlNTYyNWJmYzI4MzQ5MjE2MTA3MDg4YmMxYjQxMGE2ZmQyMzdiYjkucG5n/auto/auto/85/notrim/cf4c0ea9698d15f0d4e5296b4d1cfa6c.webp,$129.65,$213.58,$145.45,$276.84,Paracord Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9wdXNoX2FxX2JsdWVkX2xpZ2h0LjU0MTk4MDU5ZDYzZjI4Y2JiYzgwMzRmMGZiMmZlMDNkZWMxYmIxMmIucG5n/auto/auto/85/notrim/ba52b59a7ef46f6c8ea22776eaa626f7.webp,$82.14,$138.21,$98.27,$288.62,Shadow Daggers
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9za2VsZXRvbl9hcV9ibHVlZF9saWdodC45OGVjZWE1ZTg3NGE0ODcxODU3ZDExMTM0NDliNmFlNzg1OWRiMjRlLnBuZw--/auto/auto/85/notrim/12035c8ebaa4fbc8f4efa30d6a2005eb.webp,$428.57,$681.51,$434.57,"$1,000.00",Skeleton Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9zdGlsZXR0b19hcV9ibHVlZF9saWdodC5jZWRjOTRiOWQ0ZWEwODQwZmFlMTM2OTQ4YTY4MmQ0MmNlY2ZlYzNhLnBuZw--/auto/auto/85/notrim/dff9bc7f484ef317be41414601a65159.webp,$279.54,$385.50,$260.42,$387.51,Stiletto Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9jYW5pc19hcV9ibHVlZF9saWdodC4wYmJkZDYwNGViNWIxNjM3OGJlZjJjMjJkYWZiN2MyMDlhN2I1ODUyLnBuZw--/auto/auto/85/notrim/96a562275768ea35f3c06f592c7484f9.webp,$120.23,$182.70,$137.05,$285.83,Survival Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV93aWRvd21ha2VyX2FxX2JsdWVkX2xpZ2h0LmIwMTQzMGM3YzdhMWVkZmYzMDZhM2FmZWVmMDA2YTM2ZTI1YjBmMDMucG5n/auto/auto/85/notrim/4f9812ecd8c3054aab69b24a333179ee.webp,$418.00,$595.14,$422.96,$760.00,Talon Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV91cnN1c19hcV9ibHVlZF9saWdodC42N2Q2OTJlMjMyZjBjNmYyODE3MDEzNzcxZGFiNWUxMGI0MjBhMTgzLnBuZw--/auto/auto/85/notrim/3ad0a26cc652fe38536667b4bcf5468a.webp,$149.60,$247.49,$159.50,$329.99,Ursus Knife
Blue Steel,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl94bTEwMTRfYXFfYmx1ZWRfbGlnaHQuYWM1ZjY1MDY2YTE4NDMwMmQxODE0YTdkY2MwZGIxYmQ1NmZmMjZlOS5wbmc-/auto/auto/85/notrim/f0022b1eb21e5bfe563cb19db5e26a98.webp,$0.02,$0.10,$49.74,$400.00,XM1014
Blue Streak,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9iaXpvbl9oeV9zcGxhdHRlcl9saWdodC4zMTQ3ODg3Mjc1YWNlMjdlZGQ1ZDE4NjIwNGJhOGM0ODUzN2MxNjU2LnBuZw--/auto/auto/85/notrim/f559c400365acaa564c7e9d4d7553a7c.webp,$1.38,$5.77,$2.51,$32.99,PP-Bizon
Blue Tire,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl94bTEwMTRfc3BfdGlyZV90cmVhZF9ibHVlX2xpZ2h0Ljg2YWIxNmZlOWE4NDk0ZjEwMzM2NzA2OWNjY2M1NTQ4NTE5ZmFkODMucG5n/auto/auto/85/notrim/443d30da5c528bc7e5e346284abf8533.webp,$0.59,$0.98,$0.01,$0.09,XM1014
Blue Titanium,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX2FuX3RpdGFuaXVtMzB2X2xpZ2h0LmQ2NzE3NjA2NGE1NzI4YjFkOTlkYjg4MGZlZmE1MGRmZDgyMGFlNDcucG5n/auto/auto/85/notrim/a6184fc0aa6ae0a196495bec39d9da64.webp,,,,,Galil AR
Blue Titanium,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl90ZWM5X2FuX3RpdGFuaXVtMzB2X2xpZ2h0Ljc4MmYyYWZlYTA2ZGI5YmI4MmRmYjI1ZDk5MzJkM2VhM2JkZmQ1NzkucG5n/auto/auto/85/notrim/aef44e44a3027b5616566f30c82238d8.webp,,,,,Tec-9
Blueprint,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zY2FyMjBfY3VfYmx1ZXByaW50X3NjYXJfbGlnaHQuZGI5MzhjNWEzMmQxOTY0MGQ3NTBhZmY0NmI5NjViYTAwNTViMTk5NS5wbmc-/auto/auto/85/notrim/f55c037acddbd83128304b0681e6d2b3.webp,$0.11,$0.28,$0.21,$0.74,SCAR-20
Blueprint,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91c3Bfc2lsZW5jZXJfY3VfdXNwc19ibHVlcHJpbnRfbGlnaHQuMTgzYmZmOGM1YmZhZjZkMDYzY2QwNzZmZjE2NDRhYzU5MTI0YjAwYy5wbmc-/auto/auto/85/notrim/0f9be4fffe5b49dd18504db919df5fe0.webp,$2.17,$27.76,$6.10,$116.13,USP-S
Bone Forged,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9yZXZvbHZlcl9nc19yOF9sZXZpYXRoYW5fbGlnaHQuOTRiZmFmYmFmZmRjZDkwNDdiNWYzNGNlZGNiZWIyYzliODIwMzc0Ny5wbmc-/auto/auto/85/notrim/25547047d4c8adb69e0f47b9bb3f423a.webp,$0.04,$0.25,$0.10,$0.60,R8 Revolver
Bone Machine,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl94bTEwMTRfYW1fbnVjbGVhcl9za3VsbHMxX3htMTAxNF9saWdodC4zYmUxNjc3OGE4NmEwMzE4YTM1ODYwOGEyYTkzNmQ3MDViNGUwNWY4LnBuZw--/auto/auto/85/notrim/a1d92cf090a8e9556faee88a0544ad2b.webp,$3.80,$7.12,$3.95,$20.17,XM1014
Bone Mask,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX3NwX3RhcGVfbGlnaHQuMTk5ZDUyMTNhNGQxMzJlZjE0MmJjODA4NWQ4NTA3ZTBhNjVkZDJiMC5wbmc-/auto/auto/85/notrim/e976753c82078248fede9787a9d7c01b.webp,$1.98,$5.91,$0.19,$3.65,P250
Bone Mask,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9yZXZvbHZlcl9zcF90YXBlX2xpZ2h0LjFlMWI4MWRhN2NiZmI3ZjVjN2U1MThhNTQzNjViMWJkNDgyNTAxYWQucG5n/auto/auto/85/notrim/e2177b54bb6bdb5fcadfee969d491f95.webp,$0.01,$0.03,,,R8 Revolver
Bone Pile,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91bXA0NV9zcF9za3VsbF9kaWFncmFtX2JyYXZvX2xpZ2h0LjUzZjk3N2MyN2I0ZjlkMWIxNWRhODgwOGQ4MGQ4ZDBmYTdiYmI1NjAucG5n/auto/auto/85/notrim/e3ab906cb57684aed3610df7696f1212.webp,$6.97,$12.68,$5.54,$25.74,UMP-45
BOOM,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hd3BfaHlfYmxhbV9zaW1wbGVfbGlnaHQuNTdiMjE5ZGMwNTMzM2U0N2ZiYjZlYjQxYWI1NTg1YjA4YTkzNjI0Yi5wbmc-/auto/auto/85/notrim/709877f72a5a961dc5142d11bfb0d7c1.webp,$76.00,$293.67,$126.86,$531.26,AWP
Boom!,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL21vdG9yY3ljbGVfZ2xvdmVzX21vdG9yY3ljbGVfbW9ub19ib29tX2xpZ2h0LjRlMDQ4YTQwNjkyOWMwNDY3NWU1MjUxYzFjZDQ5Nzg4NGExMjkwOTgucG5n/auto/auto/85/notrim/52578fe91d419e00ad9280901130d530.webp,$76.05,$864.78,,,Moto Gloves
Boost Protocol,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fZ3NfZml2ZV9zZXZlbl9lZnVzaW9uX2xpZ2h0LjM5MmYyYTUyOTZiOWQ4NjBiODRiZjliZjdkMDNjZjZjYjQzZDA1NGYucG5n/auto/auto/85/notrim/0e5119f804d49f22b564307652fd7e12.webp,$1.00,$2.52,$1.98,$7.11,Five-SeveN
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9iYXlvbmV0X2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuYTQ2NDU1YjhlZWNhNTYxNWYxYmU5NzdjNWU3NTRlNWY4MzIwYzdhZS5wbmc-/auto/auto/85/notrim/7a759723bbc9b7cc5433004ba254db1c.webp,$182.39,$415.12,$182.00,$254.69,Bayonet
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9zdXJ2aXZhbF9ib3dpZV9oeV9mb3Jlc3RfYm9yZWFsX2xpZ2h0LjA0MWNlZjYyM2YxOGMzM2Q2NWI4OTRlZThkYjRlYTI4MTNiOTY4ZWYucG5n/auto/auto/85/notrim/8f2a9137a58d136749ab379fb819b762.webp,$85.88,$232.67,$88.52,$180.00,Bowie Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9idXR0ZXJmbHlfaHlfZm9yZXN0X2JvcmVhbF9saWdodC4zODk2OGQ3Y2ZmZWVkM2MyOWJlNjhmMWUzODA4ODc3NmE5ZDUwYTYzLnBuZw--/auto/auto/85/notrim/eda011fa2356486cb4862bbe7707feec.webp,$541.61,$981.48,$550.00,$646.94,Butterfly Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9jc3NfaHlfZm9yZXN0X2JvcmVhbF9saWdodC4wYjJjZmViZGM5YjIwOWI3MDRlNjcwMzE3OTIwNWU4ZGMwMDFiMWE5LnBuZw--/auto/auto/85/notrim/d146cdf88dbf2ea138444e5e6b61644c.webp,$106.88,$249.91,$106.70,$830.53,Classic Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mYWxjaGlvbl9oeV9mb3Jlc3RfYm9yZWFsX2xpZ2h0LmI0ZTc2ODA2YTY5M2YwNzk3OTc4MDQwOGJmOGM4Zjk3ZWU4NWNkMjkucG5n/auto/auto/85/notrim/ad0d13c04eae0ae24ff42579a9ccc089.webp,$85.33,$193.65,$97.58,$159.90,Falchion Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuYTk5YzU2OTY1ZGI5OTQwYTNiMzc2YTUwYTM5ZjFiZGYxOTliMjRiYi5wbmc-/auto/auto/85/notrim/9c689c93597483b83118fbbe646f7130.webp,$121.72,$214.41,$126.75,$156.41,Flip Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9ndXRfaHlfZm9yZXN0X2JvcmVhbF9saWdodC41ZjE4NTVjYjZjODg3MTVjY2YwYWY1YjgyMzkxYTk2ZjYwZGYwMDM4LnBuZw--/auto/auto/85/notrim/3c6029dbb697a10b6f98fbd3eab5892b.webp,$74.11,$600.00,$87.20,$199.98,Gut Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV90YWN0aWNhbF9oeV9mb3Jlc3RfYm9yZWFsX2xpZ2h0LjczY2MyODI5OGU2YTZhNzEyOTVlY2ViY2I2YTlhNjA4OWU3NTFjZTQucG5n/auto/auto/85/notrim/cfcc72b1dd1bf7f83e1024e691efd8d5.webp,$91.71,$228.53,$112.45,$149.46,Huntsman Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rYXJhbWJpdF9oeV9mb3Jlc3RfYm9yZWFsX2xpZ2h0LjBjZDQxMmUzYjEwZDkxY2YxZTYxNzBkOTE5NmNmMmUzYjJlNTdjOTgucG5n/auto/auto/85/notrim/e591b4e24ba292898c2a3b52c762548d.webp,$440.07,$956.32,$450.19,$543.99,Karambit
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9rdWtyaV9oeV9mb3Jlc3RfYm9yZWFsX2xpZ2h0LjhiZjY4OWIzMzRlMGVjYTMxN2M0OGRhMjAxNDBlYTM0MWIxZmEyODQucG5n/auto/auto/85/notrim/7fbb4bd2c99fe3227a8a1b62d0abcfcf.webp,$195.77,$441.41,$195.31,$900.00,Kukri Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tNGExX3NpbGVuY2VyX2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuZGUyYzYzMzEzMTYwMTc3NmYzMWFjNDIyODNhMjFjMDY1YWM4MjM4OC5wbmc-/auto/auto/85/notrim/3a3ca94e5f2eea862ffb1bd149045bed.webp,$0.02,$1.23,$50.00,$190.52,M4A1-S
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9tOV9iYXlvbmV0X2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuNGY0ZmQ0OWI0OTYxMzE1MTI2ODU2MjM5MzhjYTlkOWRjMWVkNDlhYy5wbmc-/auto/auto/85/notrim/60e86780f11ddd7c13600267ac2a363e.webp,$386.47,$630.00,$397.81,$445.00,M9 Bayonet
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9neXBzeV9qYWNra25pZmVfaHlfZm9yZXN0X2JvcmVhbF9saWdodC5mMmQ0YWZlNDUyM2ZiZjMwODQ1NGZlMDNiYTgwMTZjNmY5NjQxMmM3LnBuZw--/auto/auto/85/notrim/b6b69431b7a2ddb9e607857e5c7b1d67.webp,$68.41,$144.30,$72.72,$325.32,Navaja Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9vdXRkb29yX2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuMDUyMDc0MDUxNjBlMTU1NzBkNzlhNjBkYjBlNWQxN2RjMThjZDk1Zi5wbmc-/auto/auto/85/notrim/693020321379ba08564ccad2d52ac2b9.webp,$123.42,$232.10,$132.19,$599.99,Nomad Knife
Boreal Forest,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2h5X2ZvcmVzdF9ib3JlYWxfbGlnaHQuNmVlNzM1NjdiZDg0MGRhMDA1ZThmZGNiYzAwNTk0Y2Y2MjE1OTViMS5wbmc-/auto/auto/85/notrim/1097b2c0ae202806a231ae0b4dd541d2.webp,$0.01,$0.06,$7.84,"$1,549.99",P250
